semantic,subtype,direction,boundary,checks_total,checks_valid,prompt_seed_total,success_rate,paired_delta,baseline_correct_checks,retention,count_target_mae
color,all,prefix,0,50,50,50,0.94,0.0,47,1.0,
color,all,prefix,1,50,50,50,0.96,0.02,47,1.0,
color,all,prefix,2,50,50,50,0.94,0.0,47,1.0,
color,all,prefix,3,50,50,50,0.76,-0.18,47,0.7872340425531915,
color,all,prefix,4,50,50,50,0.48,-0.46,47,0.5106382978723404,
color,all,prefix,5,50,50,50,0.34,-0.6,47,0.3617021276595745,
color,all,prefix,6,50,50,50,0.26,-0.68,47,0.2765957446808511,
color,all,prefix,7,50,50,50,0.24,-0.7,47,0.2553191489361702,
color,all,prefix,8,50,50,50,0.14,-0.8,47,0.14893617021276595,
color,all,prefix,9,50,50,50,0.14,-0.8,47,0.14893617021276595,
color,all,prefix,10,50,50,50,0.12,-0.82,47,0.1276595744680851,
color,all,prefix,11,50,50,50,0.12,-0.82,47,0.1276595744680851,
color,all,prefix,12,50,50,50,0.12,-0.82,47,0.1276595744680851,
color,all,prefix,13,50,50,50,0.12,-0.82,47,0.1276595744680851,
color,all,suffix,0,50,50,50,0.12,-0.82,47,0.1276595744680851,
color,all,suffix,1,50,50,50,0.14,-0.8,47,0.14893617021276595,
color,all,suffix,2,50,50,50,0.24,-0.7,47,0.2553191489361702,
color,all,suffix,3,50,50,50,0.6,-0.34,47,0.6382978723404256,
color,all,suffix,4,50,50,50,0.7,-0.24,47,0.7446808510638298,
color,all,suffix,5,50,50,50,0.82,-0.12,47,0.8723404255319149,
color,all,suffix,6,50,50,50,0.86,-0.08,47,0.9148936170212766,
color,all,suffix,7,50,50,50,0.94,0.0,47,1.0,
color,all,suffix,8,50,50,50,0.94,0.0,47,1.0,
color,all,suffix,9,50,50,50,0.94,0.0,47,1.0,
color,all,suffix,10,50,50,50,0.94,0.0,47,1.0,
color,all,suffix,11,50,50,50,0.94,0.0,47,1.0,
color,all,suffix,12,50,50,50,0.94,0.0,47,1.0,
color,all,suffix,13,50,50,50,0.94,0.0,47,1.0,
color,color,prefix,0,50,50,50,0.94,0.0,47,1.0,
color,color,prefix,1,50,50,50,0.96,0.02,47,1.0,
color,color,prefix,2,50,50,50,0.94,0.0,47,1.0,
color,color,prefix,3,50,50,50,0.76,-0.18,47,0.7872340425531915,
color,color,prefix,4,50,50,50,0.48,-0.46,47,0.5106382978723404,
color,color,prefix,5,50,50,50,0.34,-0.6,47,0.3617021276595745,
color,color,prefix,6,50,50,50,0.26,-0.68,47,0.2765957446808511,
color,color,prefix,7,50,50,50,0.24,-0.7,47,0.2553191489361702,
color,color,prefix,8,50,50,50,0.14,-0.8,47,0.14893617021276595,
color,color,prefix,9,50,50,50,0.14,-0.8,47,0.14893617021276595,
color,color,prefix,10,50,50,50,0.12,-0.82,47,0.1276595744680851,
color,color,prefix,11,50,50,50,0.12,-0.82,47,0.1276595744680851,
color,color,prefix,12,50,50,50,0.12,-0.82,47,0.1276595744680851,
color,color,prefix,13,50,50,50,0.12,-0.82,47,0.1276595744680851,
color,color,suffix,0,50,50,50,0.12,-0.82,47,0.1276595744680851,
color,color,suffix,1,50,50,50,0.14,-0.8,47,0.14893617021276595,
color,color,suffix,2,50,50,50,0.24,-0.7,47,0.2553191489361702,
color,color,suffix,3,50,50,50,0.6,-0.34,47,0.6382978723404256,
color,color,suffix,4,50,50,50,0.7,-0.24,47,0.7446808510638298,
color,color,suffix,5,50,50,50,0.82,-0.12,47,0.8723404255319149,
color,color,suffix,6,50,50,50,0.86,-0.08,47,0.9148936170212766,
color,color,suffix,7,50,50,50,0.94,0.0,47,1.0,
color,color,suffix,8,50,50,50,0.94,0.0,47,1.0,
color,color,suffix,9,50,50,50,0.94,0.0,47,1.0,
color,color,suffix,10,50,50,50,0.94,0.0,47,1.0,
color,color,suffix,11,50,50,50,0.94,0.0,47,1.0,
